PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
93436,20100630,TSLA,TESLA MOTORS INC,23.83000,-0.002511,15
93436,20100701,TSLA,TESLA MOTORS INC,21.96000,-0.078473,15
93436,20100702,TSLA,TESLA MOTORS INC,19.20000,-0.125683,15
93436,20100706,TSLA,TESLA MOTORS INC,16.11000,-0.160938,15
93436,20100707,TSLA,TESLA MOTORS INC,15.80000,-0.019243,15
93436,20100708,TSLA,TESLA MOTORS INC,17.46000,0.105063,15
93436,20100709,TSLA,TESLA MOTORS INC,17.40000,-0.003436,15
93436,20100712,TSLA,TESLA MOTORS INC,17.05000,-0.020115,15
93436,20100713,TSLA,TESLA MOTORS INC,18.14000,0.063930,15
93436,20100714,TSLA,TESLA MOTORS INC,19.84000,0.093716,15
93436,20100715,TSLA,TESLA MOTORS INC,19.89000,0.002520,15
93436,20100716,TSLA,TESLA MOTORS INC,20.64000,0.037707,15
93436,20100719,TSLA,TESLA MOTORS INC,21.91000,0.061531,15
93436,20100720,TSLA,TESLA MOTORS INC,20.30000,-0.073482,15
93436,20100721,TSLA,TESLA MOTORS INC,20.22000,-0.003941,15
93436,20100722,TSLA,TESLA MOTORS INC,21.00000,0.038576,15
93436,20100723,TSLA,TESLA MOTORS INC,21.29000,0.013810,15
93436,20100726,TSLA,TESLA MOTORS INC,20.95000,-0.015970,15
93436,20100727,TSLA,TESLA MOTORS INC,20.55000,-0.019093,15
93436,20100728,TSLA,TESLA MOTORS INC,20.72000,0.008273,15
93436,20100729,TSLA,TESLA MOTORS INC,20.35000,-0.017857,15
93436,20100730,TSLA,TESLA MOTORS INC,19.94000,-0.020147,15
93436,20100802,TSLA,TESLA MOTORS INC,20.92000,0.049147,15
93436,20100803,TSLA,TESLA MOTORS INC,21.95000,0.049235,15
93436,20100804,TSLA,TESLA MOTORS INC,21.26000,-0.031435,15
93436,20100805,TSLA,TESLA MOTORS INC,20.45000,-0.038100,15
93436,20100806,TSLA,TESLA MOTORS INC,19.59000,-0.042054,15
93436,20100809,TSLA,TESLA MOTORS INC,19.60000,0.000510,15
93436,20100810,TSLA,TESLA MOTORS INC,19.03000,-0.029082,15
93436,20100811,TSLA,TESLA MOTORS INC,17.90000,-0.059380,15
93436,20100812,TSLA,TESLA MOTORS INC,17.60000,-0.016760,15
93436,20100813,TSLA,TESLA MOTORS INC,18.32000,0.040909,15
93436,20100816,TSLA,TESLA MOTORS INC,18.78000,0.025109,15
93436,20100817,TSLA,TESLA MOTORS INC,19.15000,0.019702,15
93436,20100818,TSLA,TESLA MOTORS INC,18.77000,-0.019843,15
93436,20100819,TSLA,TESLA MOTORS INC,18.79000,0.001066,15
93436,20100820,TSLA,TESLA MOTORS INC,19.10000,0.016498,15
93436,20100823,TSLA,TESLA MOTORS INC,20.13000,0.053927,15
93436,20100824,TSLA,TESLA MOTORS INC,19.20000,-0.046200,15
93436,20100825,TSLA,TESLA MOTORS INC,19.90000,0.036458,15
93436,20100826,TSLA,TESLA MOTORS INC,19.75000,-0.007538,15
93436,20100827,TSLA,TESLA MOTORS INC,19.70000,-0.002532,15
93436,20100830,TSLA,TESLA MOTORS INC,19.87000,0.008629,15
93436,20100831,TSLA,TESLA MOTORS INC,19.48000,-0.019628,15
93436,20100901,TSLA,TESLA MOTORS INC,20.45000,0.049795,15
93436,20100902,TSLA,TESLA MOTORS INC,21.06000,0.029829,15
93436,20100903,TSLA,TESLA MOTORS INC,21.05000,-0.000475,15
93436,20100907,TSLA,TESLA MOTORS INC,20.54000,-0.024228,15
93436,20100908,TSLA,TESLA MOTORS INC,20.90000,0.017527,15
93436,20100909,TSLA,TESLA MOTORS INC,20.71000,-0.009091,15
93436,20100910,TSLA,TESLA MOTORS INC,20.17000,-0.026074,15
93436,20100913,TSLA,TESLA MOTORS INC,20.72000,0.027268,15
93436,20100914,TSLA,TESLA MOTORS INC,21.12000,0.019305,15
